Il nome del vento,Patrick Rothfuss,2007
Orgoglio e pregiudizio,Jane Austen,1813
La metamorfosi,Franz Kafka,1915
Cronache del ghiaccio e del fuoco: Il Trono di Spade,George R.R. Martin,1996
Harry Potter e la pietra filosofale,J.K. Rowling,1997
L'ombra del vento,Carlos Ruiz Zafón,2001
Il signore degli anelli,J.R.R. Tolkien,1954
La ragazza di fuoco,Suzanne Collins,2009
Il nome della rosa,Umberto Eco,1980
Moby Dick,Herman Melville,1851
Anna Karenina,Lev Tolstoj,1877
Il giovane Holden,J.D. Salinger,1951
Cime tempestose,Emily Brontë,1847
Lo Hobbit,J.R.R. Tolkien,1937
Venti mila leghe sotto i mari,Jules Verne,1870
La fattoria degli animali,George Orwell,1945
